cohort_date,day_number,active_users,retention_rate
2020-09-24,0.0,1358,100.0
2020-09-24,1.0,68,5.01
2020-09-24,2.0,37,2.72
2020-09-24,3.0,28,2.06
2020-09-24,4.0,34,2.5
2020-09-24,5.0,23,1.69
2020-09-24,6.0,19,1.4
2020-09-24,7.0,20,1.47
2020-09-24,8.0,17,1.25
2020-09-24,9.0,13,0.96
2020-09-24,10.0,14,1.03
2020-09-24,11.0,9,0.66
2020-09-24,12.0,5,0.37
2020-09-24,13.0,9,0.66
2020-09-24,14.0,7,0.52
2020-09-24,15.0,9,0.66
2020-09-24,16.0,9,0.66
2020-09-24,17.0,5,0.37
2020-09-24,18.0,9,0.66
2020-09-24,19.0,5,0.37
2020-09-24,20.0,7,0.52
2020-09-24,21.0,8,0.59
2020-09-24,22.0,5,0.37
2020-09-24,23.0,6,0.44
2020-09-24,24.0,6,0.44
2020-09-24,25.0,5,0.37
2020-09-24,26.0,5,0.37
2020-09-24,27.0,6,0.44
2020-09-24,28.0,8,0.59
2020-09-24,29.0,4,0.29
2020-09-24,30.0,6,0.44
2020-09-24,31.0,4,0.29
2020-09-24,32.0,7,0.52
2020-09-24,33.0,2,0.15
2020-09-24,34.0,8,0.59
2020-09-24,35.0,5,0.37
2020-09-24,36.0,4,0.29
2020-09-24,37.0,4,0.29
2020-09-24,38.0,5,0.37
2020-09-24,39.0,3,0.22
2020-09-24,40.0,3,0.22
2020-09-24,41.0,7,0.52
2020-09-24,42.0,3,0.22
2020-09-24,43.0,2,0.15
2020-09-24,44.0,2,0.15
2020-09-24,45.0,3,0.22
2020-09-24,46.0,4,0.29
2020-09-24,47.0,3,0.22
2020-09-24,48.0,5,0.37
2020-09-24,49.0,2,0.15
2020-09-24,50.0,4,0.29
2020-09-24,51.0,4,0.29
2020-09-24,52.0,1,0.07
2020-09-24,53.0,5,0.37
2020-09-24,54.0,5,0.37
2020-09-24,55.0,4,0.29
2020-09-24,56.0,5,0.37
2020-09-24,57.0,4,0.29
2020-09-24,58.0,2,0.15
2020-09-24,59.0,2,0.15
2020-09-24,60.0,3,0.22
2020-09-24,61.0,2,0.15
2020-09-24,62.0,3,0.22
2020-09-24,63.0,3,0.22
2020-09-24,64.0,1,0.07
2020-09-24,65.0,3,0.22
2020-09-24,66.0,2,0.15
2020-09-24,67.0,1,0.07
2020-09-24,68.0,2,0.15
2020-09-24,69.0,4,0.29
2020-09-24,70.0,1,0.07
2020-09-24,71.0,1,0.07
2020-09-24,72.0,1,0.07
2020-09-24,73.0,2,0.15
2020-09-24,74.0,1,0.07
2020-09-24,75.0,2,0.15
2020-09-24,76.0,3,0.22
2020-09-24,77.0,3,0.22
2020-09-24,79.0,1,0.07
2020-09-24,80.0,3,0.22
2020-09-24,81.0,1,0.07
2020-09-24,83.0,1,0.07
2020-09-24,84.0,1,0.07
2020-09-24,85.0,2,0.15
2020-09-24,86.0,1,0.07
2020-09-24,87.0,1,0.07
2020-09-24,92.0,1,0.07
2020-09-24,94.0,1,0.07
2020-09-24,95.0,2,0.15
2020-09-24,97.0,2,0.15
2020-09-24,99.0,1,0.07
2020-09-24,100.0,1,0.07
2020-09-24,101.0,1,0.07
2020-09-24,102.0,2,0.15
2020-09-24,103.0,2,0.15
2020-09-24,104.0,2,0.15
2020-09-24,105.0,1,0.07
2020-09-24,108.0,1,0.07
2020-09-24,111.0,1,0.07
2020-09-24,113.0,2,0.15
2020-09-24,119.0,1,0.07
2020-09-24,132.0,1,0.07
2020-09-24,134.0,1,0.07
2020-09-24,135.0,1,0.07
2020-09-24,138.0,1,0.07
2020-09-24,139.0,1,0.07
2020-09-24,140.0,1,0.07
2020-09-24,144.0,1,0.07
2020-09-24,148.0,1,0.07
2020-09-24,149.0,1,0.07
2020-09-24,153.0,1,0.07
2020-09-25,0.0,2383,100.0
2020-09-25,1.0,86,3.61
2020-09-25,2.0,52,2.18
2020-09-25,3.0,55,2.31
2020-09-25,4.0,48,2.01
2020-09-25,5.0,46,1.93
2020-09-25,6.0,44,1.85
2020-09-25,7.0,49,2.06
2020-09-25,8.0,18,0.76
2020-09-25,9.0,18,0.76
2020-09-25,10.0,30,1.26
2020-09-25,11.0,27,1.13
2020-09-25,12.0,22,0.92
2020-09-25,13.0,21,0.88
2020-09-25,14.0,20,0.84
2020-09-25,15.0,17,0.71
2020-09-25,16.0,15,0.63
2020-09-25,17.0,24,1.01
2020-09-25,18.0,17,0.71
2020-09-25,19.0,14,0.59
2020-09-25,20.0,16,0.67
2020-09-25,21.0,12,0.5
2020-09-25,22.0,10,0.42
2020-09-25,23.0,16,0.67
2020-09-25,24.0,16,0.67
2020-09-25,25.0,21,0.88
2020-09-25,26.0,24,1.01
2020-09-25,27.0,13,0.55
2020-09-25,28.0,13,0.55
2020-09-25,29.0,7,0.29
2020-09-25,30.0,6,0.25
2020-09-25,31.0,13,0.55
2020-09-25,32.0,13,0.55
2020-09-25,33.0,15,0.63
2020-09-25,34.0,15,0.63
2020-09-25,35.0,10,0.42
2020-09-25,36.0,1,0.04
2020-09-25,37.0,5,0.21
2020-09-25,38.0,7,0.29
2020-09-25,39.0,5,0.21
2020-09-25,40.0,5,0.21
2020-09-25,41.0,10,0.42
2020-09-25,42.0,11,0.46
2020-09-25,43.0,5,0.21
2020-09-25,44.0,7,0.29
2020-09-25,45.0,9,0.38
2020-09-25,46.0,6,0.25
2020-09-25,47.0,9,0.38
2020-09-25,48.0,5,0.21
2020-09-25,49.0,6,0.25
2020-09-25,50.0,6,0.25
2020-09-25,51.0,3,0.13
2020-09-25,52.0,9,0.38
2020-09-25,53.0,6,0.25
2020-09-25,54.0,4,0.17
2020-09-25,55.0,5,0.21
2020-09-25,56.0,5,0.21
2020-09-25,57.0,2,0.08
2020-09-25,58.0,3,0.13
2020-09-25,59.0,8,0.34
2020-09-25,60.0,5,0.21
2020-09-25,61.0,7,0.29
2020-09-25,62.0,6,0.25
2020-09-25,63.0,4,0.17
2020-09-25,64.0,3,0.13
2020-09-25,65.0,1,0.04
2020-09-25,66.0,3,0.13
2020-09-25,67.0,4,0.17
2020-09-25,68.0,8,0.34
2020-09-25,69.0,3,0.13
2020-09-25,70.0,5,0.21
2020-09-25,71.0,4,0.17
2020-09-25,72.0,3,0.13
2020-09-25,73.0,4,0.17
2020-09-25,74.0,2,0.08
2020-09-25,75.0,3,0.13
2020-09-25,76.0,4,0.17
2020-09-25,77.0,3,0.13
2020-09-25,79.0,1,0.04
2020-09-25,80.0,2,0.08
2020-09-25,81.0,3,0.13
2020-09-25,82.0,5,0.21
2020-09-25,83.0,4,0.17
2020-09-25,84.0,4,0.17
2020-09-25,85.0,2,0.08
2020-09-25,86.0,2,0.08
2020-09-25,87.0,2,0.08
2020-09-25,88.0,3,0.13
2020-09-25,89.0,4,0.17
2020-09-25,90.0,3,0.13
2020-09-25,91.0,4,0.17
2020-09-25,92.0,3,0.13
2020-09-25,93.0,1,0.04
2020-09-25,94.0,3,0.13
2020-09-25,95.0,1,0.04
2020-09-25,96.0,3,0.13
2020-09-25,98.0,1,0.04
2020-09-25,99.0,3,0.13
2020-09-25,100.0,3,0.13
2020-09-25,102.0,3,0.13
2020-09-25,103.0,2,0.08
2020-09-25,104.0,1,0.04
2020-09-25,105.0,1,0.04
2020-09-25,106.0,3,0.13
2020-09-25,107.0,2,0.08
2020-09-25,108.0,4,0.17
2020-09-25,109.0,5,0.21
2020-09-25,110.0,3,0.13
2020-09-25,111.0,4,0.17
2020-09-25,112.0,4,0.17
2020-09-25,113.0,3,0.13
2020-09-25,114.0,2,0.08
2020-09-25,115.0,2,0.08
2020-09-25,116.0,5,0.21
2020-09-25,117.0,3,0.13
2020-09-25,118.0,1,0.04
2020-09-25,119.0,4,0.17
2020-09-25,120.0,1,0.04
2020-09-25,121.0,4,0.17
2020-09-25,123.0,3,0.13
2020-09-25,124.0,4,0.17
2020-09-25,125.0,3,0.13
2020-09-25,126.0,2,0.08
2020-09-25,127.0,2,0.08
2020-09-25,129.0,2,0.08
2020-09-25,130.0,4,0.17
2020-09-25,131.0,3,0.13
2020-09-25,132.0,4,0.17
2020-09-25,133.0,3,0.13
2020-09-25,134.0,2,0.08
2020-09-25,135.0,1,0.04
2020-09-25,136.0,3,0.13
2020-09-25,137.0,4,0.17
2020-09-25,138.0,3,0.13
2020-09-25,139.0,5,0.21
2020-09-25,140.0,3,0.13
2020-09-25,141.0,2,0.08
2020-09-25,142.0,1,0.04
2020-09-25,143.0,5,0.21
2020-09-25,144.0,5,0.21
2020-09-25,145.0,5,0.21
2020-09-25,146.0,3,0.13
2020-09-25,147.0,3,0.13
2020-09-25,148.0,3,0.13
2020-09-25,150.0,1,0.04
2020-09-25,151.0,2,0.08
2020-09-25,152.0,3,0.13
2020-09-25,153.0,4,0.17
2020-09-25,154.0,2,0.08
2020-09-25,155.0,2,0.08
2020-09-25,156.0,1,0.04
2020-09-26,0.0,1907,100.0
2020-09-26,1.0,64,3.36
2020-09-26,2.0,34,1.78
2020-09-26,3.0,27,1.42
2020-09-26,4.0,10,0.52
2020-09-26,5.0,15,0.79
2020-09-26,6.0,18,0.94
2020-09-26,7.0,17,0.89
2020-09-26,8.0,16,0.84
2020-09-26,9.0,14,0.73
2020-09-26,10.0,7,0.37
2020-09-26,11.0,10,0.52
2020-09-26,12.0,11,0.58
2020-09-26,13.0,8,0.42
2020-09-26,14.0,5,0.26
2020-09-26,15.0,13,0.68
2020-09-26,16.0,5,0.26
2020-09-26,17.0,8,0.42
2020-09-26,18.0,9,0.47
2020-09-26,19.0,6,0.31
2020-09-26,20.0,4,0.21
2020-09-26,21.0,6,0.31
2020-09-26,22.0,5,0.26
2020-09-26,23.0,8,0.42
2020-09-26,24.0,5,0.26
2020-09-26,25.0,7,0.37
2020-09-26,26.0,8,0.42
2020-09-26,27.0,7,0.37
2020-09-26,28.0,9,0.47
2020-09-26,29.0,7,0.37
2020-09-26,30.0,4,0.21
2020-09-26,31.0,2,0.1
2020-09-26,32.0,1,0.05
2020-09-26,33.0,4,0.21
2020-09-26,34.0,3,0.16
2020-09-26,35.0,6,0.31
2020-09-26,36.0,5,0.26
2020-09-26,37.0,1,0.05
2020-09-26,38.0,3,0.16
2020-09-26,39.0,4,0.21
2020-09-26,40.0,5,0.26
2020-09-26,41.0,2,0.1
2020-09-26,42.0,3,0.16
2020-09-26,43.0,2,0.1
2020-09-26,44.0,2,0.1
2020-09-26,45.0,5,0.26
2020-09-26,46.0,5,0.26
2020-09-26,47.0,1,0.05
2020-09-26,48.0,3,0.16
2020-09-26,49.0,4,0.21
2020-09-26,50.0,3,0.16
2020-09-26,51.0,4,0.21
2020-09-26,52.0,5,0.26
2020-09-26,53.0,2,0.1
2020-09-26,54.0,3,0.16
2020-09-26,55.0,2,0.1
2020-09-26,56.0,3,0.16
2020-09-26,57.0,3,0.16
2020-09-26,58.0,2,0.1
2020-09-26,59.0,1,0.05
2020-09-26,60.0,2,0.1
2020-09-26,62.0,1,0.05
2020-09-26,63.0,3,0.16
2020-09-26,64.0,2,0.1
2020-09-26,69.0,1,0.05
2020-09-26,70.0,1,0.05
2020-09-26,71.0,1,0.05
2020-09-26,73.0,1,0.05
2020-09-26,75.0,1,0.05
2020-09-26,77.0,2,0.1
2020-09-26,78.0,2,0.1
2020-09-26,81.0,1,0.05
2020-09-26,83.0,2,0.1
2020-09-26,84.0,2,0.1
2020-09-26,85.0,2,0.1
2020-09-26,86.0,1,0.05
